operator,vehicle_id,Earliest,Latest,days
Bird,52c8dd5c-918c-49a7-8056-9cfa98feede5,2018-04-05T20:57:00Z,2018-04-05T22:31:00Z,0.0652777777777778
Bird,5335901d-be3a-4484-81ec-fd8735d737b8,2018-04-05T21:41:00Z,2018-04-06T16:42:00Z,0.792361111111111
Bird,5418be19-f474-44f9-812f-5fc5defc288e,2018-05-12T22:26:00Z,2018-05-12T23:59:00Z,0.0645833333333333
Bird,62c4f196-cb11-43fb-a19f-0a15a5d76594,2018-05-12T19:37:00Z,2018-05-13T16:49:00Z,0.883333333333333
Bird,62f7e32c-aaa2-4826-bf95-0ea1396704a8,2018-04-18T20:54:00Z,2018-04-18T21:59:00Z,0.0451388888888889
Bird,69b18816-42cd-4c3e-9105-42c3cf53bfa1,2018-04-05T16:26:00Z,2018-04-05T17:44:00Z,0.0541666666666667
Bird,82dbbb53-cc1b-45c2-8a89-c47e71b24283,2018-05-28T20:04:00Z,2018-05-28T21:00:00Z,0.0388888888888889
Bird,891424d1-f628-4129-b65b-c379b7712c51,2018-05-29T11:59:00Z,2018-05-29T12:41:00Z,0.0291666666666667
Bird,8cb2ad78-c693-46a4-b4e4-a0d0f7a38c62,2018-03-29T18:40:00Z,2018-03-29T22:29:00Z,0.159027777777778
Bird,92c828ad-d7b5-4d4e-9308-53f5924d1a6e,2018-04-14T18:09:00Z,2018-04-14T18:11:00Z,0.00138888888888889
Bird,9dfc62e2-c128-40cd-a503-95b4ac4bd2a1,2018-04-13T19:16:00Z,2018-04-14T18:35:00Z,0.971527777777778
Bird,9e2229d0-99f6-4f29-94c3-419a79f5dc74,2018-04-13T19:37:00Z,2018-04-13T21:04:00Z,0.0604166666666667
Bird,a1271f4a-60de-45ea-900d-c2aa3f55318c,2018-04-13T19:21:00Z,2018-04-13T22:55:00Z,0.148611111111111
Bird,a51573e1-8748-47d1-b17c-cc82bf416bb5,2018-04-05T16:26:00Z,2018-04-05T21:04:00Z,0.193055555555556
Bird,a7b17635-9b0d-43fe-9f28-2b3a1cd38875,2018-04-13T19:01:00Z,2018-04-14T18:29:00Z,0.977777777777778
Bird,aa4405d1-5131-4b87-96a3-d59e7049eafa,2018-03-29T12:18:00Z,2018-03-29T23:39:00Z,0.472916666666667
Bird,aae8dd30-564e-4049-a239-c26fa774d56d,2018-05-13T17:04:00Z,2018-05-13T23:09:00Z,0.253472222222222
Bird,acb7bdab-1148-4b93-8d89-5ce23ee9ea62,2018-04-13T18:43:00Z,2018-04-13T20:54:00Z,0.0909722222222222
Bird,b0a57fdd-6a3f-4d4f-b1b0-84d01c8f69b2,2018-05-28T20:21:00Z,2018-05-29T01:21:00Z,0.208333333333333
Bird,b777fe2e-e52f-46bb-b7e9-6d34b5e55025,2018-05-29T17:30:00Z,2018-05-30T14:26:00Z,0.872222222222222
Bird,b933b5b0-3f48-45b5-9f17-06c1f721d8e6,2018-04-14T14:33:00Z,2018-04-14T15:58:00Z,0.0590277777777778
Bird,bd1e6de9-f69e-4552-859c-e21009496deb,2018-04-18T19:02:00Z,2018-04-18T19:30:00Z,0.0194444444444444
Bird,bf1f6f69-e508-4f1c-a61e-74f5f561c58b,2018-04-14T13:05:00Z,2018-04-14T16:25:00Z,0.138888888888889
Bird,d872e0c1-ea50-47d8-b465-0f8bd46b81a0,2018-03-29T14:33:00Z,2018-03-29T15:43:00Z,0.0486111111111111
